Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
Aditya Birla SL Asset Allocator FoF(G),Vinod Narayan Bhat,FOF-DOM,Unrated,195.4,1.19,Open Ended,17-Aug-06,CRISIL Hybrid 50+50 - Moderate Index,64.28,65.76,56.74,2.57,4.32,1.59,9.96,20.58,14.75,17.52,11.96,-,-,-,-,-,-,-,-,-,-,0.40,0.31,0.69,0.60,8.64,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Bal Bhavishya Yojna-Reg(G),Chanchal Khandelwal,HY-SOL,2,1025.4,2.19,Open Ended,11-Feb-19,NIFTY 500 - TRI,18.53,20.94,16.89,2.72,2.10,-5.13,2.49,17.35,12.10,14.51,-,50,66,121223,58.89,11.36,28.87,Financials,-,-,-,-0.19,0.15,0.28,0.94,14.09,Hybrid : Solution Oriented,Nil
Aditya Birla SL Balanced Advantage Fund(G),Harish krishnan,HY-DYN,4,7321.4,1.81,Open Ended,25-Apr-00,CRISIL Hybrid 50+50 - Moderate Index,103.11,104.73,91.76,2.93,4.68,2.57,10.84,15.79,12.79,15.42,11.05,314,94,156554,48.75,16.3,5.01,Financials,4.48,3.38,7.43,0.27,0.29,0.64,0.55,7.40,Hybrid : Dynamic Asset Allocation,0.25% on or before 7D Nil after 7D
Aditya Birla SL Banking & Financial Services Fund-Reg(G),Dhaval Gala,EQ-FIN,4,3248.5,2.00,Open Ended,14-Dec-13,Nifty Financial Services - TRI,58.78,60.25,49.67,5.23,10.92,3.82,10.17,19.52,17.35,23.12,13.59,16,37,272921,70.71,10.75,15.31,Financials,-,-,-,0.05,0.20,0.40,0.97,16.04,Equity : Sectoral - Financial Services,1% on or before 30D Nil after 30D
Aditya Birla SL Banking & PSU Debt(G),Kaustubh Gupta,DT-B&PSU,4,8588.2,0.73,Open Ended,05-May-08,NIFTY Banking and PSU Debt Index,364.27,364.27,332.95,1.52,3.14,4.86,9.49,8.00,7.09,6.75,7.62,0,-,-,-,-,-,-,4.75,3.52,7.22,0.12,0.69,0.99,0.34,1.21,Debt : Banking & PSU,Nil
Aditya Birla SL BSE India Infrastructure Index Fund-Reg(G),Priya Sridhar,EQ-INFRA,Unrated,33.4,1.07,Open Ended,04-Dec-24,BSE India Infrastructure Index - TRI,8.88,10.19,7.86,0.59,1.21,-,-,-,-,-,-,-,30,131335,70.74,11.94,17.12,Energy,-,-,-,-,-,-,-,-,Equity : Sectoral - Infrastructure,0.05% on or before 30D Nil after 30D
Aditya Birla SL BSE Sensex ETF,Priya Sridhar,EQ-ETF,Unrated,323.8,0.04,Open Ended,18-Jul-16,BSE SENSEX - TRI,79.73,84.76,70.94,3.67,4.66,0.57,8.92,15.87,13.53,20.25,-,-,30,669849,99.52,0.47,-,Financials,-,-,-,-0.01,0.17,0.35,1.00,12.76,Equity : ETFs,null
Aditya Birla SL Business Cycle Fund-Reg(G),Harish krishnan,EQ-THEM,Unrated,1688.0,2.15,Open Ended,03-Dec-21,BSE 500 - TRI,14.35,15.99,13.04,2.57,2.21,-4.33,7.41,18.37,13.57,-,-,-,68,143273,57.01,21.05,18.03,Financials,-,-,-,-0.08,0.17,0.34,0.94,13.89,Equity : Thematic,1% on or before 30D Nil after 30D
Aditya Birla SL Conglomerate Fund-Reg(G),Harish krishnan,EQ-THEM,Unrated,1459.2,2.07,Open Ended,27-Dec-24,BSE Select Business Groups Index - TRI,10.05,10.11,9.09,1.72,1.93,-,-,-,-,-,-,-,36,199932,74.35,11.41,12.68,Energy,-,-,-,-,-,-,-,-,Equity : Thematic,0.50% on or before 90D Nil after 90D
Aditya Birla SL Corp Bond Fund(G),Kaustubh Gupta,DT-CORP,5,24570.3,0.51,Open Ended,03-Mar-97,NIFTY Corporate Bond Index,112.31,112.31,102.11,1.54,3.20,5.08,10.10,8.62,7.62,7.26,7.87,0,-,-,-,-,-,-,4.79,3.46,7.31,0.14,0.74,1.04,0.38,1.32,Debt : Corporate Bond,Nil
Aditya Birla SL Credit Risk Fund-Reg(G),Sunaina da Cunha,DT-CR,3,969.6,1.54,Open Ended,22-Apr-15,CRISIL Credit Risk Debt Index,22.01,22.01,18.79,1.31,6.39,8.17,17.22,11.83,10.65,9.95,8.17,0,1,-,-,-,-,-,3.83,2.46,8.29,0.41,0.61,1.71,0.31,2.99,Debt : Credit Risk,Nil upto 15% of units For remaining units 3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y
Aditya Birla SL CRISIL 10 Year Gilt ETF,Bhupesh Bameta,DT-ETF,Unrated,88.1,0.20,Open Ended,13-Aug-24,Crisil 10 Yr Gilt Index,108.31,108.42,100.00,2.06,3.85,6.32,-,-,-,-,-,0,-,-,-,-,-,-,9.48,6.70,6.69,-,-,-,-,-,Debt : ETFs,null
Aditya Birla SL CRISIL Broad Based Gilt ETF,Kaustubh Gupta,DT-ETF,Unrated,44.6,0.19,Open Ended,05-Jul-24,CRISIL Broad Based Gilt Index,109.68,109.68,100.00,2.10,4.06,6.09,-,-,-,-,-,0,-,-,-,-,-,-,11.63,6.74,6.73,-,-,-,-,-,Debt : ETFs,null
Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Reg(G),Mohit Sharma,DT-M&LD,Unrated,362.9,0.35,Open Ended,13-Oct-22,CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,12.36,12.36,11.24,1.71,3.13,5.01,10.01,8.22,-,-,-,0,-,-,-,-,-,-,2.97,2.59,6.74,0.12,0.89,1.38,0.53,1.42,Debt : Medium to Long Duration,Nil
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund-Reg(G),Mohit Sharma,DT-MD,Unrated,135.6,0.35,Open Ended,30-Mar-22,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2025,11.87,11.87,11.10,0.53,1.56,3.23,6.95,6.86,6.08,-,-,0,-,-,-,-,-,-,0.04,0.04,6.74,0.04,0.38,0.51,0.34,1.48,Debt : Medium Duration,Nil
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund-Reg(G),Mohit Sharma,DT-M&LD,Unrated,1598.9,0.32,Open Ended,29-Mar-22,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2027,12.05,12.05,11.09,1.21,2.59,4.33,8.75,7.63,6.90,-,-,0,-,-,-,-,-,-,1.70,1.54,6.98,0.01,0.37,0.53,0.57,2.01,Debt : Medium to Long Duration,Nil
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund-Reg(G),Bhupesh Bameta,DT-B&PSU,Unrated,51.0,0.45,Open Ended,02-Dec-22,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2026,11.82,11.82,10.96,0.88,2.13,3.78,7.88,7.17,-,-,-,0,-,-,-,-,-,-,0.88,0.82,6.90,0.16,1.26,1.07,0.23,0.71,Debt : Banking & PSU,Nil
Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund-Reg(G),Bhupesh Bameta,DT-MD,Unrated,248.9,0.36,Open Ended,07-Oct-22,CRISIL IBX Gilt Index - April 2026,12.04,12.04,11.17,0.90,2.07,3.78,7.89,7.12,-,-,-,0,-,-,-,-,-,-,1.00,0.93,6.51,0.14,1.03,1.13,0.31,0.95,Debt : Medium Duration,Nil
Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index Fund-Reg(G),Bhupesh Bameta,DT-M&LD,Unrated,23.4,0.79,Open Ended,15-Mar-23,CRISIL IBX Gilt Index - April 2028,11.75,11.75,10.77,1.37,2.78,4.53,9.14,7.49,-,-,-,0,-,-,-,-,-,-,2.58,2.29,6.54,0.09,0.89,1.26,0.44,1.15,Debt : Medium to Long Duration,Nil
Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund-Reg(G),Harshil Suvarnkar,DT-GILT,Unrated,670.0,0.37,Open Ended,19-Oct-22,CRISIL IBX Gilt Index - April 2029,12.47,12.47,11.27,1.73,3.38,5.53,10.78,8.55,-,-,-,0,-,-,-,-,-,-,4.00,3.37,6.57,0.09,0.82,1.49,0.67,1.70,Debt : Gilt,Nil
Aditya Birla SL CRISIL IBX Gilt April 2033 Index Fund-Reg(G),Bhupesh Bameta,DT-LD,Unrated,80.7,0.47,Open Ended,22-Dec-23,CRISIL IBX Gilt Index - April 2033,11.49,11.49,10.27,2.07,3.94,6.19,12.10,-,-,-,-,0,-,-,-,-,-,-,7.74,5.82,6.70,0.02,0.97,1.73,0.91,1.92,Debt : Long Duration,Nil
Aditya Birla SL CRISIL IBX Gilt June 2027 Index Fund-Reg(G),Bhupesh Bameta,DT-GILT,Unrated,114.7,0.56,Open Ended,05-Jun-24,CRISIL IBX Gilt Index - June 2027,10.81,10.81,10.00,1.27,2.70,4.54,-,-,-,-,-,0,-,-,-,-,-,-,2.17,1.94,6.53,-,-,-,-,-,Debt : Gilt,Nil
Aditya Birla SL CRISIL IBX SDL Jun 2032 Index Fund-Reg(G),Bhupesh Bameta,DT-LD,Unrated,162.0,0.57,Open Ended,14-Feb-23,CRISIL IBX SDL Index - June 2032,12.24,12.24,11.00,2.06,3.87,5.79,11.52,9.10,-,-,-,0,-,-,-,-,-,-,6.82,5.21,6.97,0.06,0.72,1.38,0.80,2.16,Debt : Long Duration,Nil
Aditya Birla SL CRISIL Liquid Overnight ETF,Sanjay Pawar,DT-ON,Unrated,58.6,0.43,Open Ended,13-Mar-23,CRISIL Liquid Overnight Index,1000.00,1000.00,1000.00,0.43,1.38,2.96,6.07,6.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02,6.83,0.72,0.99,0.09,Debt : Overnight,null
Aditya Birla SL CRISIL-IBX AAA Financial Services Index-Sep 2027 Fund-Reg(G),Harshil Suvarnkar,DT-M&LD,Unrated,85.7,0.44,Open Ended,13-Nov-24,CRISIL IBX AAA Financial Services Index - Sep 2027,10.43,10.43,10.00,1.28,2.82,-,-,-,-,-,-,0,-,-,-,-,-,-,2.25,1.90,7.59,-,-,-,-,-,Debt : Medium to Long Duration,NIL
Aditya Birla SL CRISIL-IBX AAA NBFC-HFC Index-Dec 2025 Fund-Reg(G),Sanjay Godambe,DT-SD,Unrated,407.4,0.40,Open Ended,15-Oct-24,CRISIL-IBX AAA NBFC-HFC Index - Dec 2025,10.43,10.43,10.00,0.81,2.23,3.93,-,-,-,-,-,0,-,-,-,-,-,-,0.63,0.58,7.46,-,-,-,-,-,Debt : Short Duration,NIL
Aditya Birla SL CRISIL-IBX AAA NBFC-HFC Index-Sep 2026 Fund-Reg(G),Harshil Suvarnkar,DT-SD,Unrated,276.6,0.45,Open Ended,08-Oct-24,CRISIL-IBX AAA NBFC-HFC Index - Sep 2026,10.48,10.48,10.00,1.13,2.45,4.18,-,-,-,-,-,0,-,-,-,-,-,-,1.31,1.15,7.73,-,-,-,-,-,Debt : Short Duration,Nil
Aditya Birla SL CRISIL-IBX Financial Services 3 to 6 Months Debt Index Fund-Reg(G),Harshil Suvarnkar,DT-USD,Unrated,3434.6,0.36,Open Ended,17-Dec-24,CRISIL-IBX Financial Services 3 to 6 Months Debt Index,10.30,10.30,10.00,0.78,2.12,-,-,-,-,-,-,0,-,-,-,-,-,-,0.37,0.35,7.33,-,-,-,-,-,Debt : Ultra Short Duration,Nil
Aditya Birla SL CRISIL-IBX Financial Services 9-12 Months Debt Index Fund-Reg(G),Sanjay Pawar,DT-LOWD,Unrated,740.6,0.35,Open Ended,21-Mar-25,CRISIL-IBX Financial Services 9-12 Months Debt Index,10.13,10.13,10.00,0.96,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0.93,0.90,7.31,-,-,-,-,-,Debt : Low Duration,NIL
Aditya Birla SL Debt Plus Arbitrage FOF-Reg(G),Kaustubh Gupta,FOF-DOM,Unrated,120.8,0.62,Open Ended,28-Dec-06,CRISIL Composite Bond Index,37.16,37.16,34.02,1.10,2.99,4.61,9.38,7.92,7.03,6.68,6.90,-,-,-,-,-,-,-,-,-,-,0.11,0.66,0.97,0.45,1.26,FoFs : Domestic,NIL
Aditya Birla SL Digital India Fund(G),Kunal Sangoi,EQ-TECH,Unrated,4530.2,1.90,Open Ended,15-Jan-00,BSE TECk Index - TRI,158.78,197.62,144.74,0.40,-10.45,-12.08,5.43,17.63,8.35,26.22,17.26,38,39,155404,62.81,12.1,19.44,Technology,-,-,-,-,0.05,0.09,1.01,18.73,Equity : Sectoral - Technology,1% on or before 30D Nil after 30D
Aditya Birla SL Dividend Yield Fund(G),Dhaval Gala,EQ-DIV,Unrated,1403.9,2.23,Open Ended,10-Feb-03,NIFTY 500 - TRI,418.76,497.49,392.72,0.64,-1.96,-9.62,0.35,23.41,19.22,25.17,11.85,34,57,137413,61.09,9.29,19.69,Energy,-,-,-,0.32,0.26,0.49,0.99,15.47,Equity : Thematic - Dividend Yield,1% on or before 90D Nil after 90D
Aditya Birla SL Dynamic Bond Fund-Reg(G),Mohit Sharma,DT-DYN,1,1766.6,1.23,Open Ended,27-Sep-04,NIFTY Composite Debt Index,46.38,46.38,41.60,1.93,3.95,5.66,11.80,8.87,8.81,8.18,6.57,0,-,-,-,-,-,-,14.64,7.59,7.33,0.15,0.51,1.29,0.66,2.64,Debt : Dynamic Bond,Nil upto 15% of units0.50% in excess of limit on or before 90D and Nil after 90D
Aditya Birla SL ELSS Tax Saver Fund(G),Dhaval Shah,EQ-ELSS,1,14461.9,1.71,Open Ended,10-Mar-08,NIFTY 500 - TRI,56.39,62.96,51.31,3.09,4.17,-3.16,6.31,18.94,12.19,14.93,10.31,27,65,190314,67.29,16.87,14.25,Financials,-,-,-,-0.16,0.15,0.29,0.91,13.55,Equity : Tax Saving (ELSS),Nil
Aditya Birla SL Equity Advantage Fund(G),Vishal Gajwani,EQ-L&M,4,5410.4,1.93,Open Ended,24-Feb-95,NIFTY LargeMidcap 250 - TRI,841.09,960.80,761.22,1.93,2.38,-4.94,3.14,18.28,10.92,19.73,11.49,39,72,119126,52.92,34.04,11.08,Financials,-,-,-,-0.61,0.10,0.17,1.05,16.32,Equity : Large & Mid Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Equity Hybrid 95 Fund(G),Chanchal Khandelwal,HY-EQ,4,7192.7,1.86,Open Ended,10-Feb-95,CRISIL Hybrid 35+65 - Aggressive Index,1458.78,1557.86,1323.45,2.73,2.95,-1.41,8.05,17.46,11.16,18.00,10.26,63,78,234243,58.04,8.83,9.58,Financials,5.66,4.01,7.43,-0.23,0.15,0.26,1.11,11.12,Hybrid : Equity Oriented,1% on or before 90D Nil after 90D
Aditya Birla SL Equity Savings Fund-Reg(G),Lovelish Solanki,HY-EQ,2,631.6,1.11,Open Ended,28-Nov-14,NIFTY 50 Equity Savings Index - TRI,21.52,21.52,19.89,1.51,2.72,3.22,7.82,10.59,8.15,10.52,7.65,674,108,299511,51.63,12.75,3.24,Financials,4.29,3.35,6.99,0.05,0.19,0.32,0.32,4.81,Hybrid : Equity Oriented,0.25% on or before 7D Nil after 7D
Aditya Birla SL ESG Integration Strategy Fund-Reg(G),Chanchal Khandelwal,EQ-THEM,Unrated,605.0,2.45,Open Ended,24-Dec-20,NIFTY100 ESG - TRI,16.94,18.95,14.67,3.23,1.07,-4.30,13.09,19.89,12.10,-,-,-,52,190902,68.7,20.48,8.58,Financials,-,-,-,-0.11,0.11,0.20,1.03,15.79,Equity : Thematic,1% on or before 30D Nil after 30D
Aditya Birla SL Financial Planning FOF Aggressive Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,208.7,1.20,Open Ended,09-May-11,CRISIL Hybrid 35+65 - Aggressive Index,51.19,54.15,45.86,3.27,4.43,-0.48,9.12,20.39,15.19,18.57,12.23,-,-,-,-,-,-,-,-,-,-,0.14,0.26,0.51,1.08,10.70,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Financial Planning FOF Conservative Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,15.1,0.97,Open Ended,09-May-11,CRISIL Short Term Debt Hybrid 75+25 Index,33.51,33.68,30.07,2.47,4.22,3.27,10.30,14.32,11.49,12.29,8.97,-,-,-,-,-,-,-,-,-,-,0.13,0.38,0.84,1.15,4.97,FoFs : Domestic,1% on or before 1Y Nil after 1Y
Aditya Birla SL Financial Planning FOF Moderate Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,35.5,1.14,Open Ended,09-May-11,CRISIL Hybrid 50+50 - Moderate Index,40.88,41.80,36.57,2.93,4.45,1.54,9.98,17.57,13.38,15.38,10.54,-,-,-,-,-,-,-,-,-,-,0.21,0.30,0.62,1.30,7.76,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Flexi Cap Fund(G),Harish krishnan,EQ-FLEX,3,21667.6,1.69,Open Ended,27-Aug-98,NIFTY 500 - TRI,1709.39,1853.62,1499.07,3.50,4.99,-1.50,10.58,23.05,16.05,22.50,13.73,42,76,185531,69.91,18.36,9.31,Financials,-,-,-,0.02,0.20,0.38,0.95,14.08,Equity : Flexi Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Floating Rate Fund(G),Kaustubh Gupta,DT-FL,3,13274.9,0.43,Open Ended,25-Mar-09,NIFTY Low Duration Debt Index,344.16,344.16,317.67,1.06,2.51,4.22,8.34,7.96,7.27,6.64,7.39,0,-,-,-,-,-,-,1.99,1.07,7.50,0.12,1.29,0.99,0.70,0.69,Debt : Floater,Nil
Aditya Birla SL Focused Fund(G),Kunal Sangoi,EQ-LC,3,7359.9,1.84,Open Ended,24-Oct-05,NIFTY 500 - TRI,135.72,148.29,119.92,3.46,4.31,-1.78,9.37,21.70,15.55,21.05,12.47,34,30,300737,83.9,12.69,1.59,Financials,-,-,-,0.06,0.21,0.42,0.88,13.15,Equity : Large Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Frontline Equity Fund(G),Mahesh Patil,EQ-LC,4,28105.7,1.66,Open Ended,30-Aug-02,NIFTY 100 - TRI,507.62,550.82,450.61,3.92,4.84,-0.57,9.87,20.19,15.58,21.91,12.31,48,75,316114,83.11,3.67,7.2,Financials,-,-,-,0.15,0.21,0.42,0.94,13.14,Equity : Large Cap,1% on or before 90D Nil after 90D
Aditya Birla SL G-Sec Fund(G),Bhupesh Bameta,DT-GILT,3,1972.0,1.14,Open Ended,11-Oct-99,Nifty All Duration G-Sec Index,82.34,82.48,73.84,2.14,4.32,5.73,11.93,9.12,7.83,6.39,8.01,0,-,-,-,-,-,-,29.96,11.74,7.01,-0.01,0.36,0.73,0.83,2.81,Debt : Gilt,Nil
Aditya Birla SL Global Emerging Opp Fund(G),Dhaval Joshi,FOF-OVR,Unrated,222.0,1.16,Open Ended,17-Sep-08,S&P Global 1200,24.20,27.30,21.89,1.48,-8.52,-3.15,5.90,-2.14,7.31,11.78,6.78,0.2,1,-,-,-,-,-,-,-,-,-0.26,0.03,0.05,0.64,16.27,FoFs : Overseas,0.25% on or before 28D Nil after 28D
Aditya Birla SL Global Excellence Equity FoF(G),Dhaval Joshi,FOF-OVR,Unrated,192.7,1.28,Open Ended,31-Dec-07,MSCI World,30.71,34.58,28.06,0.05,-8.43,-4.64,5.69,2.85,13.11,12.38,5.80,0.06,1,-,-,-,-,-,-,-,-,0.20,0.13,0.22,0.69,17.17,FoFs : Overseas,0.25% on or before 28D Nil after 28D
Aditya Birla SL Gold ETF,Sachin Wankhede,GOLD-ETF,Unrated,1109.8,0.47,Open Ended,13-May-11,Gold-India,82.95,87.02,60.75,5.76,15.50,17.73,30.03,23.87,20.52,13.88,12.14,-,-,-,-,-,-,-,-,-,-,0.82,0.34,0.85,1.41,12.51,Gold : ETFs,Nil
Aditya Birla SL Gold Fund(G),Priya Sridhar,GOLD-MF,Unrated,554.9,0.52,Open Ended,20-Mar-12,Gold-India,27.54,29.04,20.34,6.18,15.91,17.95,29.42,23.18,20.69,12.64,11.71,-,-,-,-,-,-,-,-,-,-,0.83,0.35,0.92,1.24,11.89,Gold : MFs,1% on or before 15D Nil after 15D
Aditya Birla SL Income Fund(G),Bhupesh Bameta,DT-M&LD,5,2242.2,1.16,Open Ended,21-Oct-95,CRISIL Medium to Long Term Debt Index,125.82,125.83,113.80,1.70,3.58,5.14,10.86,8.15,7.22,6.86,7.17,0,-,-,-,-,-,-,16.07,6.61,7.10,-0.01,0.38,0.69,0.72,2.31,Debt : Medium to Long Duration,Nil
Aditya Birla SL India GenNext Fund(G),Chanchal Khandelwal,EQ-CONS,3,5612.9,1.87,Open Ended,05-Aug-05,Nifty India Consumption - TRI,207.08,236.16,186.54,5.34,4.51,-2.71,9.23,20.72,16.02,22.05,14.98,15,76,148097,67.4,19.87,11.77,FMCG,-,-,-,-0.13,0.22,0.43,0.91,14.12,Equity : Thematic - Consumption,1% on or before 30D Nil after 30D
Aditya Birla SL Infrastructure Fund(G),Mahesh Patil,EQ-INFRA,4,1059.5,2.31,Open Ended,17-Mar-06,Nifty Infrastructure - TRI,86.63,102.31,77.08,0.57,0.52,-8.93,-3.09,24.20,21.31,30.26,12.87,49,60,68914,47.14,14.98,34.83,Capital Goods,-,-,-,0.11,0.26,0.48,1.01,17.93,Equity : Sectoral - Infrastructure,1% on or before 30D Nil after 30D
Aditya Birla SL Intl. Equity Fund(G),Dhaval Joshi,EQ-INTL,Unrated,192.9,2.54,Open Ended,31-Oct-07,S&P Global 1200,37.03,38.52,32.33,0.18,-0.06,5.62,15.61,10.54,8.44,10.78,7.89,64,74,-,-,-,-,-,-,-,-,-0.06,0.08,0.15,0.59,15.34,Equity : International,1% on or before 30D Nil after 30D
Aditya Birla SL Liquid Fund(G),Kaustubh Gupta,DT-LIQ,3,41051.5,0.34,Open Ended,30-Mar-04,Nifty Liquid Fund Index,416.50,416.50,388.29,0.59,1.82,3.59,7.29,7.26,6.84,5.47,6.30,0,-,-,-,-,-,-,0.19,0.19,7.20,0.16,2.40,0.96,0.30,0.31,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D
Aditya Birla SL Long Duration Fund-Reg(G),Harshil Suvarnkar,DT-LD,Unrated,150.4,1.09,Open Ended,08-Aug-22,NIFTY Long Duration Debt Index,12.92,12.93,11.49,2.42,4.49,5.81,12.84,9.54,-,-,-,0,-,-,-,-,-,-,26.52,10.60,7.01,0.01,0.50,1.19,1.08,3.13,Debt : Long Duration,Nil
